concept:name,day,user,case:concept:name
Activity A,Wednesday,Seth,1
Activity O,Thursday,Lucy,1
Activity U,Wednesday,Anna,1
Activity X,Wednesday,Hannah,1
Activity V,Tuesday,Brian,1
Activity P,Tuesday,Shandi,1
Activity B,Monday,Pam,1
Activity A,Monday,Lourdes,2
Activity O,Wednesday,Lannie,2
Activity S,Monday,James,2
Activity T,Wednesday,Jin,2
Activity P,Friday,Johnny,2
Activity B,Thursday,Charles,2
Activity AC,Thursday,Jin,3
Activity A,Friday,Melany,3
Activity Z,Monday,Lannie,3
Activity AA,Monday,Chan,3
Activity AB,Tuesday,Jamika,3
Activity B,Thursday,Amanda,3
Activity P,Tuesday,Chan,4
Activity A,Wednesday,Sonia,4
Activity O,Wednesday,Lannie,4
Activity S,Monday,James,4
Activity T,Friday,Anna,4
Activity B,Thursday,Amanda,4
Activity A,Friday,Lourdes,5
Activity O,Wednesday,Lannie,5
Activity S,Friday,Lisa,5
Activity T,Wednesday,Jin,5
Activity P,Friday,Jimmy,5
Activity B,Thursday,Craig,5
Activity A,Friday,Rossie,6
Activity Y,Friday,Charles,6
Activity B,Wednesday,Brian,6
Activity A,Wednesday,Sonia,7
Activity O,Friday,Sharee,7
Activity U,Thursday,Carmella,7
Activity X,Wednesday,Hannah,7
Activity V,Tuesday,Emily,7
Activity P,Friday,Jimmy,7
Activity B,Wednesday,Craig,7
Activity A,Wednesday,Donald,8
Activity O,Monday,Hannah,8
Activity S,Friday,Lisa,8
Activity T,Friday,Clayton,8
Activity P,Tuesday,Chan,8
Activity B,Tuesday,Doretta,8
Activity A,Friday,Sonia,9
Activity O,Monday,Hannah,9
Activity S,Monday,James,9
Activity T,Friday,Anna,9
Activity P,Tuesday,Chan,9
Activity B,Thursday,Amanda,9
Activity Z,Monday,Lannie,10
Activity AA,Wednesday,Alpha,10
Activity AC,Thursday,Jin,10
Activity AB,Tuesday,Hoyt,10
Activity B,Monday,Hugo,10
Activity A,Wednesday,Sonia,11
Activity O,Friday,Sharee,11
Activity U,Thursday,Anna,11
Activity X,Monday,Hugo,11
Activity V,Tuesday,Emily,11
Activity P,Tuesday,Shandi,11
Activity B,Thursday,Charles,11
Activity A,Friday,Seth,12
Activity O,Wednesday,Hassie,12
Activity S,Monday,James,12
Activity T,Friday,Clayton,12
Activity P,Tuesday,Chan,12
Activity B,Thursday,Amanda,12
Activity A,Thursday,Sharee,13
Activity O,Monday,Hannah,13
Activity S,Monday,James,13
Activity T,Friday,Anna,13
Activity P,Friday,Jimmy,13
Activity B,Wednesday,Craig,13
Activity A,Friday,Melany,14
Activity Z,Monday,Lannie,14
Activity AA,Thursday,Chan,14
Activity AC,Tuesday,Junior,14
Activity AB,Tuesday,Jamika,14
Activity B,Thursday,Amanda,14
Activity A,Thursday,Sonia,15
Activity O,Wednesday,Lannie,15
Activity S,Monday,James,15
Activity T,Friday,Anna,15
Activity P,Friday,Jimmy,15
Activity B,Wednesday,Craig,15
Activity A,Friday,Melany,16
Activity Z,Monday,Lannie,16
Activity AA,Thursday,Chan,16
Activity AC,Tuesday,Junior,16
Activity AB,Monday,Hoyt,16
Activity B,Monday,Ling,16
Activity A,Thursday,Sherlene,17
Activity Y,Wednesday,Rossana,17
Activity B,Thursday,Jimmy,17
Activity A,Friday,Melany,18
Activity Z,Thursday,Lannie,18
Activity AA,Wednesday,Sherlene,18
Activity AC,Tuesday,Junior,18
Activity AB,Tuesday,Hoyt,18
Activity B,Friday,Ling,18
Activity A,Friday,Steve,19
Activity Z,Monday,Lannie,19
Activity AA,Thursday,Chan,19
Activity AC,Tuesday,Junior,19
Activity AB,Monday,Hoyt,19
Activity B,Monday,Hugo,19
Activity A,Friday,Melany,20
Activity Z,Monday,Lannie,20
Activity AA,Thursday,Rossana,20
Activity AF,Thursday,Lannie,20
Activity AB,Tuesday,Amanda,20
Activity B,Tuesday,Doretta,20
Activity O,Monday,Hannah,21
Activity S,Wednesday,Lisa,21
Activity T,Friday,Clayton,21
Activity A,Thursday,Donald,21
Activity P,Tuesday,Chan,21
Activity B,Thursday,Amanda,21
Activity A,Friday,Seth,22
Activity O,Friday,Sharee,22
Random activity 25,Random day 2,Random user 55,22
Activity U,Wednesday,Brant,22
Activity X,Wednesday,Hannah,22
Activity V,Tuesday,Brian,22
Random activity 1,Random day 1,Random user 32,22
Activity P,Wednesday,Frances,22
Activity B,Thursday,Amanda,22
Activity A,Friday,Melany,23
Activity Z,Thursday,Lannie,23
